"search-number","evaluation","sun-brightness*","albedo*","initial-clouds*","CO2-amount*","num-replicates","best-fitness-so-far"
"1","10","2.6","0.8","2","75","10","19.48187767334115"
"1","30","4.2","0.55","2","0","10","31.518257093951757"
"1","120","4","0.4","4","250","10","32.74011859400166"
"1","160","3.6","0","0","150","10","47.07146281471774"
"1","410","4.4","0","1","100","10","49.151812294408"
