"search-number","evaluation","sun-brightness*","albedo*","initial-clouds*","CO2-amount*","fitness","num-replicates","best-fitness-so-far"
"1","10","2.6","0.8","2","75","19.48187767334115","10","19.48187767334115"
"1","20","0.6000000000000001","0.8500000000000001","5","150","13.178499946869668","10","19.48187767334115"
"1","30","4.2","0.55","2","0","31.518257093951757","10","31.518257093951757"
"1","40","0.2","0.05","2","250","14.026243802475785","10","31.518257093951757"
"1","50","2.8000000000000003","0.4","3","25","28.332316358832877","10","31.518257093951757"
"1","60","4.4","0.8","2","225","23.969351671569076","10","31.518257093951757"
"1","70","0.6000000000000001","0.30000000000000004","9","100","14.77404756506898","10","31.518257093951757"
"1","80","2.8000000000000003","0.65","4","50","23.192952247637642","10","31.518257093951757"
"1","90","4.6000000000000005","0.9500000000000001","9","150","14.389652449992909","10","31.518257093951757"
"1","100","5","0.55","9","0","28.364942783931347","10","31.518257093951757"
"1","110","0","0.5","4","150","11.999999999999998","10","31.518257093951757"
"1","120","4","0.4","4","250","32.74011859400166","10","32.74011859400166"
"1","130","0.2","0.1","1","50","14.465549464747763","10","32.74011859400166"
"1","140","3.8000000000000003","0.05","7","0","31.929889953556927","10","32.74011859400166"
"1","150","0","0.65","9","75","11.999999999999998","10","32.74011859400166"
"1","160","3.6","0","0","150","47.07146281471774","10","47.07146281471774"
"1","170","4.6000000000000005","0.1","4","200","38.689280641963464","10","47.07146281471774"
"1","180","0","0.9500000000000001","9","175","11.999999999999998","10","47.07146281471774"
"1","190","4","0.6000000000000001","0","50","31.949679861362277","10","47.07146281471774"
"1","200","3.6","0.30000000000000004","3","200","34.020081856686524","10","47.07146281471774"
"1","210","0.4","0.8","10","175","12.637848570127336","10","47.07146281471774"
"1","220","2.6","0.25","7","50","25.241056019165487","10","47.07146281471774"
"1","230","4","0.35000000000000003","0","0","40.135044833147155","10","47.07146281471774"
"1","240","2.8000000000000003","0.75","8","75","18.697701008695795","10","47.07146281471774"
"1","250","1.8","0.35000000000000003","6","125","22.138117909858842","10","47.07146281471774"
"1","260","2.4000000000000004","0.55","1","150","26.528583136320293","10","47.07146281471774"
"1","270","2.4000000000000004","0.15000000000000002","6","175","26.225970838837856","10","47.07146281471774"
"1","280","0.6000000000000001","0.55","0","225","16.61314793958972","10","47.07146281471774"
"1","290","1.6","1","6","225","11.999999999999998","10","47.07146281471774"
"1","300","0.8","0.65","4","250","14.9086245452151","10","47.07146281471774"
"1","310","2","0.30000000000000004","2","200","28.19063360356583","10","47.07146281471774"
"1","320","0.8","0.5","5","100","15.579027460066706","10","47.07146281471774"
"1","330","5","0.5","7","0","30.349685913435803","10","47.07146281471774"
"1","340","3.6","0.15000000000000002","4","150","34.77327691329284","10","47.07146281471774"
"1","350","0.2","0.65","9","125","12.56692657332767","10","47.07146281471774"
"1","360","0.8","0","3","150","20.208721348832167","10","47.07146281471774"
"1","370","3","0.5","9","50","23.18001591665846","10","47.07146281471774"
"1","380","4.6000000000000005","0.8","9","225","20.460534003376786","10","47.07146281471774"
"1","390","2.6","0.65","1","200","23.70342878805384","10","47.07146281471774"
"1","400","3.8000000000000003","0.25","7","150","29.420940085057044","10","47.07146281471774"
"1","410","4.4","0","1","100","49.151812294408","10","49.151812294408"
"1","420","0.6000000000000001","0.5","6","100","14.835996154162356","10","49.151812294408"
"1","430","2.6","0.8500000000000001","2","225","17.268191077533437","10","49.151812294408"
"1","440","0.8","0.8500000000000001","3","250","13.511163592435143","10","49.151812294408"
"1","450","4.4","0.05","2","50","44.68871276004847","10","49.151812294408"
"1","460","4.4","0.05","6","0","34.578461724354575","10","49.151812294408"
"1","470","1.8","0.45","2","125","23.891153323871","10","49.151812294408"
"1","480","0.4","0.4","7","100","13.767399214161395","10","49.151812294408"
"1","490","2.8000000000000003","0.35000000000000003","9","225","22.54165932330365","10","49.151812294408"
"1","500","3.4000000000000004","0.8500000000000001","2","175","18.55826820587487","10","49.151812294408"
